promo_id,sku_id,promo_name,start_date,end_date,expected_uplift_pct,known_in_advance_flag
PROMO0047,SKU000029,Jacket promo 47,2026-06-03,2026-06-05,0.25,1
PROMO0048,SKU000437,T-Shirt promo 48,2026-05-26,2026-06-08,0.8,1
PROMO0049,SKU000933,Running Shoes promo 49,2026-06-02,2026-06-15,0.8,1
PROMO0050,SKU000520,Leggings promo 50,2026-06-03,2026-06-07,0.5,1
PROMO0051,SKU000124,Jacket promo 51,2026-05-27,2026-06-05,0.8,1
PROMO0052,SKU000131,Jacket promo 52,2026-06-03,2026-06-09,0.35,1
PROMO0053,SKU001127,Running Shoes promo 53,2026-06-01,2026-06-05,0.8,1
PROMO0054,SKU000119,T-Shirt promo 54,2026-05-24,2026-06-02,0.35,1
PROMO0055,SKU000589,Jacket promo 55,2026-05-18,2026-05-27,0.8,1
PROMO0056,SKU000379,Track Pants promo 56,2026-06-02,2026-06-15,0.15,1
PROMO0057,SKU000332,Track Pants promo 57,2026-05-21,2026-05-27,0.15,1
PROMO0058,SKU000038,Jacket promo 58,2026-05-15,2026-05-24,0.25,1
PROMO0059,SKU000644,Track Pants promo 59,2026-05-21,2026-06-03,0.5,1
PROMO0060,SKU000470,Track Pants promo 60,2026-05-23,2026-05-25,0.35,1
PROMO0061,SKU000843,Football Boots promo 61,2026-05-19,2026-05-28,0.25,1
PROMO0062,SKU001049,Training Shoes promo 62,2026-05-29,2026-05-31,0.5,1
PROMO0063,SKU000532,Leggings promo 63,2026-05-17,2026-05-19,0.8,1
PROMO0064,SKU000351,Shorts promo 64,2026-06-03,2026-06-07,0.5,1
PROMO0065,SKU000514,Leggings promo 65,2026-05-20,2026-05-22,0.15,1
PROMO0066,SKU000690,Jacket promo 66,2026-05-27,2026-06-09,0.25,1
PROMO0067,SKU000873,Basketball Shoes promo 67,2026-05-17,2026-05-26,0.5,1
PROMO0068,SKU000128,Jacket promo 68,2026-05-17,2026-05-26,0.15,1
PROMO0069,SKU000670,Jacket promo 69,2026-05-16,2026-05-20,0.5,1
PROMO0070,SKU000111,T-Shirt promo 70,2026-06-01,2026-06-07,0.15,1
PROMO0071,SKU000650,Track Pants promo 71,2026-05-21,2026-05-25,0.15,1
PROMO0072,SKU000594,Shorts promo 72,2026-05-28,2026-06-06,0.8,1
PROMO0073,SKU000070,Shorts promo 73,2026-06-04,2026-06-10,0.15,1
PROMO0074,SKU000976,Running Shoes promo 74,2026-05-25,2026-06-03,0.15,1
PROMO0075,SKU000645,Track Pants promo 75,2026-05-31,2026-06-09,0.25,1
PROMO0076,SKU001157,Training Shoes promo 76,2026-06-03,2026-06-05,0.15,1
PROMO0077,SKU000570,T-Shirt promo 77,2026-06-04,2026-06-10,0.35,1
PROMO0078,SKU000876,Basketball Shoes promo 78,2026-05-29,2026-06-04,0.8,1
PROMO0079,SKU000819,Football Boots promo 79,2026-05-30,2026-06-01,0.5,1
PROMO0080,SKU001119,Running Shoes promo 80,2026-05-27,2026-06-05,0.15,1
PROMO0081,SKU000436,T-Shirt promo 81,2026-05-19,2026-05-21,0.15,1
PROMO0082,SKU000158,Jacket promo 82,2026-05-15,2026-05-19,0.5,1
PROMO0083,SKU000228,Shorts promo 83,2026-05-27,2026-06-02,0.8,1
PROMO0084,SKU001103,Running Shoes promo 84,2026-05-24,2026-05-30,0.35,1
PROMO0085,SKU000159,Jacket promo 85,2026-05-23,2026-05-25,0.35,1
PROMO0086,SKU000043,Jacket promo 86,2026-05-22,2026-05-26,0.25,1
PROMO0087,SKU000868,Training Shoes promo 87,2026-05-15,2026-05-19,0.15,1
PROMO0088,SKU000461,Track Pants promo 88,2026-05-19,2026-05-23,0.25,1
PROMO0089,SKU001142,Training Shoes promo 89,2026-06-03,2026-06-05,0.25,1
PROMO0090,SKU000167,T-Shirt promo 90,2026-05-19,2026-05-25,0.25,1
