sku_id,dc_total_stock,dc_reserved_stock,dc_blocked_stock,dc_safety_stock,dc_inbound_qty_next_7d,dc_free_stock
SKU000351,1,0,0,43,0,0
SKU000352,601,23,21,27,0,530
SKU000353,92,35,18,27,0,12
SKU000354,164,78,7,37,100,42
SKU000355,69,1,16,18,150,34
SKU000356,196,21,24,39,0,112
SKU000357,742,27,16,59,150,640
SKU000358,486,75,5,33,150,373
SKU000359,109,45,12,32,0,20
SKU000360,526,14,24,25,0,463
SKU000361,477,17,15,53,0,392
SKU000362,721,5,2,25,50,689
SKU000363,118,58,19,52,0,0
SKU000364,703,56,7,40,50,600
SKU000365,297,54,6,59,0,178
SKU000366,916,60,21,28,0,807
SKU000367,13,7,5,11,50,0
SKU000368,448,86,2,12,0,348
SKU000369,404,75,3,52,0,274
SKU000370,66,25,10,17,100,14
SKU000371,864,15,7,58,50,784
SKU000372,742,74,18,22,250,628
SKU000373,808,51,11,35,150,711
SKU000374,617,62,16,22,0,517
SKU000375,786,15,8,36,50,727
SKU000376,236,17,0,11,150,208
SKU000377,54,31,21,6,0,0
SKU000378,391,41,4,24,100,322
SKU000379,638,9,21,53,100,555
SKU000380,785,59,6,23,150,697
SKU000381,509,33,17,26,250,433
SKU000382,880,2,24,7,50,847
SKU000383,901,49,14,25,250,813
SKU000384,385,4,1,16,100,364
SKU000385,675,38,22,15,50,600
SKU000386,441,49,15,53,0,324
SKU000387,582,84,17,48,100,433
SKU000388,585,71,5,37,0,472
SKU000389,400,75,12,44,150,269
SKU000390,361,36,10,8,0,307
SKU000391,46,22,23,42,0,0
SKU000392,783,43,12,11,50,717
SKU000393,353,52,11,8,150,282
SKU000394,250,82,9,42,0,117
SKU000395,932,39,3,26,0,864
SKU000396,20,1,14,47,250,0
SKU000397,432,53,8,6,150,365
SKU000398,480,40,12,41,50,387
SKU000399,330,62,3,49,150,216
SKU000400,210,64,25,53,150,68
SKU000401,347,38,11,32,0,266
SKU000402,508,9,17,18,0,464
SKU000403,73,51,7,44,150,0
SKU000404,94,74,3,42,0,0
SKU000405,67,60,6,18,0,0
SKU000406,38,32,6,24,50,0
SKU000407,679,25,13,30,0,611
SKU000408,639,85,24,40,0,490
SKU000409,66,23,18,36,0,0
SKU000410,676,59,8,45,100,564
SKU000411,828,55,18,51,150,704
SKU000412,61,23,14,14,0,10
SKU000413,154,38,13,31,0,72
SKU000414,880,8,20,18,250,834
SKU000415,422,36,20,15,0,351
SKU000416,703,51,7,12,0,633
SKU000417,39,29,7,40,50,0
SKU000418,432,4,6,15,0,407
SKU000419,35,35,0,46,250,0
SKU000420,43,31,12,6,0,0
SKU000421,880,40,19,24,250,797
SKU000422,65,52,5,47,150,0
SKU000423,906,17,7,12,100,870
SKU000424,752,15,16,47,250,674
SKU000425,594,67,8,36,0,483
SKU000426,243,40,10,58,100,135
SKU000427,754,30,13,18,0,693
SKU000428,109,35,14,31,0,29
SKU000429,883,62,17,28,150,776
SKU000430,115,54,15,48,0,0
SKU000431,284,18,11,35,150,220
SKU000432,376,2,20,43,0,311
SKU000433,861,6,22,55,150,778
SKU000434,245,49,9,45,150,142
SKU000435,371,87,3,39,250,242
SKU000436,242,49,0,30,0,163
SKU000437,308,30,9,18,250,251
SKU000438,911,56,20,25,250,810
SKU000439,785,4,8,60,0,713
SKU000440,842,62,15,52,50,713
SKU000441,948,54,3,57,0,834
SKU000442,715,8,11,31,100,665
SKU000443,746,41,14,49,0,642
SKU000444,23,20,3,55,150,0
SKU000445,25,20,2,25,100,0
SKU000446,84,31,16,50,250,0
SKU000447,850,16,19,48,50,767
SKU000448,811,57,15,60,150,679
SKU000449,136,87,18,57,0,0
SKU000450,818,10,13,28,0,767
SKU000451,402,73,7,6,0,316
SKU000452,945,78,20,19,0,828
SKU000453,473,89,5,8,50,371
SKU000454,632,33,4,10,0,585
SKU000455,174,15,0,50,100,109
SKU000456,445,58,21,36,0,330
SKU000457,229,24,25,22,0,158
SKU000458,764,16,13,59,0,676
SKU000459,614,36,23,48,0,507
SKU000460,428,18,0,23,0,387
SKU000461,241,31,11,42,150,157
SKU000462,662,1,15,13,250,633
SKU000463,331,50,21,18,150,242
SKU000464,392,76,8,9,0,299
SKU000465,42,15,15,27,100,0
SKU000466,686,76,22,52,250,536
SKU000467,64,48,9,30,150,0
SKU000468,379,71,1,42,0,265
SKU000469,266,63,10,34,0,159
SKU000470,91,67,13,14,0,0
SKU000471,119,16,15,60,250,28
SKU000472,287,55,9,21,100,202
SKU000473,849,33,16,25,50,775
SKU000474,914,62,24,14,100,814
SKU000475,873,81,25,33,0,734
SKU000476,193,29,5,7,50,152
SKU000477,266,59,13,12,50,182
SKU000478,41,35,3,34,50,0
SKU000479,115,18,3,27,0,67
SKU000480,208,23,5,52,100,128
SKU000481,842,84,18,18,100,722
SKU000482,4,4,0,31,0,0
SKU000483,252,86,3,26,0,137
SKU000484,291,87,3,30,0,171
SKU000485,604,13,10,14,0,567
SKU000486,83,61,14,45,0,0
SKU000487,608,42,1,46,100,519
SKU000488,463,72,4,18,250,369
SKU000489,49,18,10,56,0,0
SKU000490,77,48,2,30,0,0
SKU000491,182,51,2,6,250,123
SKU000492,213,51,9,46,250,107
SKU000493,669,38,15,56,50,560
SKU000494,753,39,21,43,0,650
SKU000495,367,47,16,17,50,287
SKU000496,456,60,8,41,100,347
SKU000497,433,54,25,28,100,326
SKU000498,190,54,2,7,100,127
SKU000499,349,86,7,46,150,210
SKU000500,730,63,16,45,150,606
SKU000501,537,59,13,10,250,455
SKU000502,489,16,21,24,250,428
SKU000503,254,37,18,8,100,191
SKU000504,78,65,1,37,50,0
SKU000505,422,84,23,41,250,274
SKU000506,259,74,2,54,100,129
SKU000507,16,14,0,55,0,0
SKU000508,863,10,13,50,0,790
SKU000509,321,58,24,47,50,192
SKU000510,638,43,25,16,0,554
SKU000511,77,33,21,11,50,12
SKU000512,50,7,0,15,150,28
SKU000513,488,51,21,52,100,364
SKU000514,743,79,19,28,150,617
SKU000515,689,86,12,56,0,535
SKU000516,89,1,6,12,250,70
SKU000517,16,6,0,18,50,0
SKU000518,664,30,13,58,150,563
SKU000519,878,24,2,24,250,828
SKU000520,474,54,0,12,0,408
SKU000521,924,89,14,36,50,785
SKU000522,20,18,0,17,0,0
SKU000523,583,50,1,26,0,506
SKU000524,105,55,13,59,50,0
SKU000525,754,70,9,7,50,668
SKU000526,409,75,23,44,150,267
SKU000527,926,62,7,50,0,807
SKU000528,73,40,17,9,0,7
SKU000529,914,60,3,36,100,815
SKU000530,661,89,13,6,0,553
SKU000531,294,60,11,33,0,190
SKU000532,519,87,10,43,250,379
SKU000533,862,59,4,23,150,776
SKU000534,728,53,21,46,150,608
SKU000535,368,20,19,18,0,311
SKU000536,707,85,15,13,0,594
SKU000537,204,62,3,55,50,84
SKU000538,505,26,17,8,0,454
SKU000539,367,45,21,15,0,286
SKU000540,847,64,1,56,0,726
SKU000541,345,79,7,12,100,247
SKU000542,229,43,25,27,250,134
SKU000543,47,35,4,14,250,0
SKU000544,706,77,21,11,150,597
SKU000545,51,28,14,58,250,0
SKU000546,113,78,19,55,250,0
SKU000547,104,5,16,11,0,72
SKU000548,645,26,11,15,150,593
SKU000549,299,64,15,51,250,169
SKU000550,101,46,10,57,0,0
SKU000551,125,56,13,54,250,2
SKU000552,6,6,0,26,0,0
SKU000553,517,34,11,50,250,422
SKU000554,424,85,7,14,250,318
SKU000555,771,29,4,56,50,682
SKU000556,423,58,16,55,150,294
SKU000557,370,56,4,54,0,256
SKU000558,734,8,2,26,0,698
SKU000559,411,21,13,8,50,369
SKU000560,19,18,0,45,150,0
SKU000561,818,66,9,31,50,712
SKU000562,907,70,9,51,150,777
SKU000563,321,1,8,38,100,274
SKU000564,942,51,14,46,0,831
SKU000565,908,79,20,33,150,776
SKU000566,353,83,12,54,0,204
SKU000567,902,4,17,26,50,855
SKU000568,742,16,16,39,0,671
SKU000569,218,70,9,38,0,101
SKU000570,775,2,0,55,100,718
SKU000571,606,38,23,32,100,513
SKU000572,113,47,8,45,100,13
SKU000573,362,83,3,33,0,243
SKU000574,586,58,10,20,250,498
SKU000575,763,72,22,45,150,624
SKU000576,546,29,11,24,0,482
SKU000577,682,73,21,13,150,575
SKU000578,386,31,3,25,100,327
SKU000579,596,46,14,11,0,525
SKU000580,728,52,2,10,0,664
SKU000581,435,60,6,33,0,336
SKU000582,378,51,18,40,100,269
SKU000583,797,33,18,36,150,710
SKU000584,433,88,15,51,50,279
SKU000585,843,64,4,36,150,739
SKU000586,468,90,16,60,100,302
SKU000587,120,58,15,7,150,40
SKU000588,160,47,3,43,250,67
SKU000589,418,47,18,23,0,330
SKU000590,535,47,9,28,0,451
SKU000591,301,18,4,55,100,224
SKU000592,39,18,6,16,250,0
SKU000593,757,15,17,27,0,698
SKU000594,61,36,9,41,50,0
SKU000595,921,48,15,58,150,800
SKU000596,853,17,16,45,50,775
SKU000597,779,57,4,60,150,658
SKU000598,333,79,21,44,50,189
SKU000599,396,50,10,39,0,297
SKU000600,686,35,20,10,250,621
SKU000601,169,73,20,55,250,21
SKU000602,724,82,3,46,100,593
SKU000603,87,79,8,41,250,0
SKU000604,54,33,6,53,50,0
SKU000605,514,15,21,39,0,439
SKU000606,19,6,3,58,150,0
SKU000607,859,56,2,56,100,745
SKU000608,621,75,1,36,250,509
SKU000609,23,5,13,6,250,0
SKU000610,540,32,2,12,0,494
SKU000611,554,18,5,21,250,510
SKU000612,91,52,21,15,0,3
SKU000613,629,23,0,50,0,556
SKU000614,305,40,4,31,0,230
SKU000615,264,15,1,17,0,231
SKU000616,770,30,15,37,250,688
SKU000617,516,14,8,8,0,486
SKU000618,475,8,15,6,50,446
SKU000619,648,2,8,40,100,598
SKU000620,691,71,20,55,0,545
SKU000621,311,57,2,59,150,193
SKU000622,512,18,11,39,0,444
SKU000623,800,54,17,33,0,696
SKU000624,1,1,0,5,0,0
SKU000625,943,76,8,58,150,801
SKU000626,389,80,6,42,250,261
SKU000627,522,20,23,39,100,440
SKU000628,71,50,3,58,0,0
SKU000629,742,35,13,18,100,676
SKU000630,516,40,21,26,150,429
SKU000631,267,90,14,22,0,141
SKU000632,678,43,6,34,100,595
SKU000633,17,0,15,5,0,0
SKU000634,688,71,22,50,50,545
SKU000635,780,10,25,46,150,699
SKU000636,79,56,21,12,0,0
SKU000637,832,76,11,29,0,716
SKU000638,859,89,0,12,50,758
SKU000639,379,56,0,19,150,304
SKU000640,20,11,3,10,250,0
SKU000641,628,28,7,36,0,557
SKU000642,37,13,0,17,250,7
SKU000643,653,35,18,37,50,563
SKU000644,174,84,23,41,150,26
SKU000645,698,22,2,42,0,632
SKU000646,33,14,16,51,250,0
SKU000647,280,86,0,49,150,145
SKU000648,545,87,17,34,0,407
SKU000649,437,83,1,59,0,294
SKU000650,442,52,8,12,150,370
SKU000651,530,46,16,53,0,415
SKU000652,905,6,8,31,100,860
SKU000653,459,50,6,26,0,377
SKU000654,901,3,23,19,150,856
SKU000655,433,31,6,15,0,381
SKU000656,80,12,0,35,50,33
SKU000657,80,42,8,20,0,10
SKU000658,484,43,1,57,0,383
SKU000659,532,9,24,43,100,456
SKU000660,449,80,14,42,0,313
SKU000661,87,4,12,25,250,46
SKU000662,16,1,14,8,0,0
SKU000663,625,8,3,48,0,566
SKU000664,48,25,3,44,250,0
SKU000665,420,76,25,47,100,272
SKU000666,10,7,3,44,100,0
SKU000667,103,86,0,34,100,0
SKU000668,336,13,3,5,100,315
SKU000669,24,18,1,45,100,0
SKU000670,262,61,23,44,50,134
SKU000671,190,5,1,13,0,171
SKU000672,598,83,24,27,0,464
SKU000673,597,18,4,35,0,540
SKU000674,617,47,0,38,100,532
SKU000675,673,7,7,37,250,622
SKU000676,855,6,13,27,0,809
SKU000677,205,25,25,9,0,146
SKU000678,193,88,22,34,100,49
SKU000679,709,74,18,26,100,591
SKU000680,306,20,3,34,250,249
SKU000681,28,0,20,19,150,0
SKU000682,235,27,7,35,150,166
SKU000683,786,42,25,52,50,667
SKU000684,210,0,11,5,0,194
SKU000685,14,2,4,33,0,0
SKU000686,646,46,1,6,0,593
SKU000687,202,28,8,51,0,115
SKU000688,347,31,5,17,0,294
SKU000689,180,12,0,58,150,110
SKU000690,140,14,10,18,0,98
SKU000691,467,47,21,15,100,384
SKU000692,818,55,22,9,0,732
SKU000693,147,16,25,17,0,89
SKU000694,545,47,10,43,50,445
SKU000695,651,5,24,44,100,578
SKU000696,193,37,25,14,0,117
SKU000697,35,8,16,42,50,0
SKU000698,214,60,25,47,100,82
SKU000699,66,49,16,28,50,0
SKU000700,531,41,22,28,100,440
SKU000701,711,63,15,22,100,611
SKU000702,410,74,20,7,0,309
SKU000703,224,57,7,30,0,130
SKU000704,313,48,18,15,250,232
SKU000705,383,10,4,53,0,316
SKU000706,302,45,7,42,0,208
SKU000707,476,43,13,33,50,387
SKU000708,442,63,10,22,50,347
SKU000709,25,7,8,46,0,0
SKU000710,367,37,16,37,100,277
SKU000711,35,14,3,12,0,6
SKU000712,25,10,6,48,0,0
SKU000713,256,87,8,17,150,144
SKU000714,618,69,8,5,250,536
SKU000715,306,44,25,30,50,207
SKU000716,841,83,0,35,150,723
SKU000717,524,19,12,19,0,474
SKU000718,740,60,7,38,100,635
SKU000719,804,59,23,57,50,665
SKU000720,348,40,6,32,250,270
SKU000721,714,56,14,59,100,585
SKU000722,30,18,2,24,150,0
SKU000723,9,5,2,19,50,0
SKU000724,435,51,24,54,150,306
SKU000725,550,75,0,41,250,434
SKU000726,32,9,10,41,150,0
SKU000727,818,77,18,60,50,663
SKU000728,390,50,2,39,50,299
SKU000729,192,42,18,33,150,99
SKU000730,916,21,3,48,100,844
SKU000731,77,62,0,16,0,0
SKU000732,71,49,9,18,0,0
SKU000733,298,8,14,8,0,268
SKU000734,41,26,12,15,0,0
SKU000735,132,61,23,9,50,39
SKU000736,925,16,6,24,50,879
SKU000737,837,60,5,43,100,729
SKU000738,317,64,22,48,50,183
SKU000739,282,18,14,9,250,241
SKU000740,408,31,16,26,100,335
SKU000741,900,59,18,7,150,816
SKU000742,93,58,11,49,250,0
SKU000743,728,50,19,57,250,602
SKU000744,870,31,5,44,150,790
SKU000745,442,84,5,49,100,304
SKU000746,97,5,7,60,0,25
SKU000747,280,68,9,47,0,156
SKU000748,714,27,15,31,250,641
SKU000749,566,47,2,53,0,464
SKU000750,516,41,13,33,0,429
SKU000751,258,5,14,6,0,233
SKU000752,654,59,12,26,150,557
SKU000753,408,50,1,5,0,352
SKU000754,117,17,10,47,150,43
SKU000755,475,8,2,40,150,425
SKU000756,248,56,4,35,250,153
SKU000757,285,21,0,43,0,221
SKU000758,181,68,23,30,0,60
SKU000759,79,1,21,22,0,35
SKU000760,451,27,22,7,150,395
SKU000761,545,89,1,58,150,397
SKU000762,830,84,22,47,0,677
SKU000763,399,56,1,43,0,299
SKU000764,49,49,0,20,0,0
SKU000765,930,11,0,31,0,888
SKU000766,14,3,10,47,0,0
SKU000767,225,12,25,58,250,130
SKU000768,680,21,1,31,100,627
SKU000769,110,41,17,45,0,7
SKU000770,639,69,12,32,0,526
