store_id,category,soft_capacity_units,hard_capacity_units,receiving_capacity_units_per_delivery,capacity_rule
STR001,Apparel,1858,2020,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR021,Apparel,2087,2269,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR021,Shoes,677,736,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR022,Apparel,930,1011,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR022,Shoes,361,393,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR023,Apparel,1000,1088,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR023,Shoes,255,278,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR024,Apparel,1909,2075,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR024,Shoes,483,525,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR025,Apparel,1470,1598,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR025,Shoes,676,735,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR026,Apparel,2315,2517,700,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR026,Shoes,503,547,700,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR027,Apparel,2086,2268,700,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR027,Shoes,493,536,700,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR028,Apparel,2029,2206,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR028,Shoes,567,617,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR029,Apparel,1845,2006,700,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR029,Shoes,525,571,700,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR030,Apparel,936,1018,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR030,Shoes,272,296,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR031,Apparel,473,515,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR031,Shoes,187,204,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR032,Apparel,1165,1267,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR032,Shoes,381,415,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR033,Apparel,954,1037,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR033,Shoes,327,356,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR034,Apparel,1947,2117,350,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR034,Shoes,470,511,350,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR035,Apparel,1569,1706,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR035,Shoes,553,602,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR036,Apparel,1564,1701,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR036,Shoes,361,393,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR037,Apparel,874,951,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR037,Shoes,253,276,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR038,Apparel,1655,1799,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR038,Shoes,655,713,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR039,Apparel,1005,1093,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR039,Shoes,358,390,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR040,Apparel,920,1000,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR040,Shoes,372,405,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR041,Apparel,2709,2945,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR041,Shoes,898,977,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR042,Apparel,1162,1264,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR042,Shoes,323,352,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR043,Apparel,575,625,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR043,Shoes,214,233,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR044,Apparel,1552,1687,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR044,Shoes,493,536,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR045,Apparel,1101,1197,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR045,Shoes,434,472,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR046,Apparel,674,733,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR046,Shoes,195,212,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR047,Apparel,1132,1231,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR047,Shoes,305,332,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR048,Apparel,2023,2199,350,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR048,Shoes,628,683,350,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR049,Apparel,2340,2544,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR049,Shoes,496,540,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR050,Apparel,1634,1777,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR050,Shoes,530,577,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR051,Apparel,2072,2253,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR051,Shoes,638,694,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR052,Apparel,1809,1967,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR052,Shoes,662,720,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR053,Apparel,890,968,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR053,Shoes,215,234,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR054,Apparel,1136,1235,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR054,Shoes,390,424,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR055,Apparel,573,623,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR055,Shoes,204,222,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR056,Apparel,920,1001,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR056,Shoes,244,266,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR057,Apparel,1667,1813,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR057,Shoes,419,456,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR058,Apparel,1529,1663,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR058,Shoes,390,424,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR059,Apparel,740,805,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR059,Shoes,174,190,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR060,Apparel,2249,2445,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR060,Shoes,592,644,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR061,Apparel,1301,1415,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR061,Shoes,441,480,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR062,Apparel,1536,1670,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR062,Shoes,419,456,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR063,Apparel,1990,2164,700,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR063,Shoes,861,936,700,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR064,Apparel,1620,1761,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR064,Shoes,621,675,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR065,Apparel,996,1083,350,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR065,Shoes,291,317,350,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR066,Apparel,1771,1926,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR066,Shoes,710,772,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR067,Apparel,956,1040,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR067,Shoes,234,255,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR068,Apparel,2011,2186,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR068,Shoes,718,781,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR069,Apparel,1582,1720,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR069,Shoes,690,750,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR070,Apparel,1348,1466,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR070,Shoes,624,679,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
