order_id,store_id,sku_id,order_qty,ship_date,expected_arrival_date,status
OPEN000066,STR001,SKU000221,6,2026-05-12,2026-05-19,In transit
OPEN000067,STR001,SKU000222,3,2026-05-12,2026-05-17,In transit
OPEN000068,STR001,SKU000223,6,2026-05-12,2026-05-17,In transit
OPEN000069,STR001,SKU000225,12,2026-05-15,2026-05-17,In transit
OPEN000070,STR001,SKU000226,12,2026-05-14,2026-05-18,In transit
OPEN000071,STR001,SKU000229,12,2026-05-15,2026-05-18,In transit
OPEN000072,STR001,SKU000232,12,2026-05-13,2026-05-16,In transit
OPEN000073,STR001,SKU000237,6,2026-05-12,2026-05-17,In transit
OPEN000074,STR001,SKU000238,6,2026-05-14,2026-05-18,In transit
OPEN000075,STR001,SKU000240,6,2026-05-12,2026-05-19,In transit
OPEN000076,STR001,SKU000245,6,2026-05-12,2026-05-18,In transit
OPEN000077,STR001,SKU000247,12,2026-05-15,2026-05-19,In transit
OPEN000078,STR001,SKU000251,24,2026-05-12,2026-05-19,In transit
OPEN000079,STR001,SKU000257,6,2026-05-14,2026-05-19,In transit
OPEN000080,STR001,SKU000258,12,2026-05-15,2026-05-19,In transit
OPEN000081,STR001,SKU000264,6,2026-05-14,2026-05-18,In transit
OPEN000082,STR001,SKU000265,12,2026-05-14,2026-05-17,In transit
OPEN000083,STR001,SKU000268,6,2026-05-14,2026-05-16,In transit
OPEN000084,STR001,SKU000270,24,2026-05-14,2026-05-20,In transit
OPEN000085,STR001,SKU000271,3,2026-05-14,2026-05-18,In transit
OPEN000086,STR001,SKU000275,12,2026-05-15,2026-05-17,In transit
OPEN000087,STR001,SKU000279,24,2026-05-13,2026-05-19,In transit
OPEN000088,STR001,SKU000293,6,2026-05-13,2026-05-18,In transit
OPEN000089,STR001,SKU000294,6,2026-05-14,2026-05-19,In transit
OPEN000090,STR001,SKU000298,12,2026-05-14,2026-05-18,In transit
OPEN000091,STR001,SKU000300,3,2026-05-15,2026-05-18,In transit
OPEN000092,STR001,SKU000302,3,2026-05-13,2026-05-16,In transit
OPEN000093,STR001,SKU000304,6,2026-05-15,2026-05-20,In transit
OPEN000094,STR001,SKU000305,12,2026-05-13,2026-05-19,In transit
OPEN000095,STR001,SKU000312,3,2026-05-12,2026-05-18,In transit
OPEN000096,STR001,SKU000315,3,2026-05-13,2026-05-18,In transit
OPEN000097,STR001,SKU000318,24,2026-05-15,2026-05-16,In transit
OPEN000098,STR001,SKU000319,6,2026-05-12,2026-05-20,In transit
OPEN000099,STR001,SKU000320,6,2026-05-14,2026-05-20,In transit
OPEN000100,STR001,SKU000322,12,2026-05-13,2026-05-18,In transit
OPEN000101,STR001,SKU000329,12,2026-05-13,2026-05-19,In transit
OPEN000102,STR001,SKU000330,3,2026-05-13,2026-05-20,In transit
OPEN000103,STR001,SKU000331,6,2026-05-15,2026-05-16,In transit
OPEN000104,STR001,SKU000335,12,2026-05-14,2026-05-19,In transit
OPEN000105,STR001,SKU000336,6,2026-05-13,2026-05-16,In transit
OPEN000106,STR001,SKU000337,12,2026-05-13,2026-05-18,In transit
OPEN000107,STR001,SKU000340,6,2026-05-14,2026-05-20,In transit
OPEN000108,STR001,SKU000345,3,2026-05-12,2026-05-20,In transit
OPEN000109,STR001,SKU000351,6,2026-05-12,2026-05-18,In transit
OPEN000110,STR001,SKU000353,6,2026-05-13,2026-05-18,In transit
OPEN000111,STR001,SKU000354,3,2026-05-15,2026-05-16,In transit
OPEN000112,STR001,SKU000355,3,2026-05-13,2026-05-18,In transit
OPEN000113,STR001,SKU000356,3,2026-05-14,2026-05-19,In transit
OPEN000114,STR001,SKU000364,24,2026-05-13,2026-05-17,In transit
OPEN000115,STR001,SKU000366,12,2026-05-12,2026-05-16,In transit
OPEN000116,STR001,SKU000367,24,2026-05-13,2026-05-18,In transit
OPEN000117,STR001,SKU000368,24,2026-05-13,2026-05-18,In transit
OPEN000118,STR001,SKU000374,6,2026-05-12,2026-05-16,In transit
OPEN000119,STR001,SKU000376,6,2026-05-14,2026-05-16,In transit
OPEN000120,STR001,SKU000377,6,2026-05-12,2026-05-19,In transit
OPEN000121,STR001,SKU000380,6,2026-05-14,2026-05-18,In transit
OPEN000122,STR001,SKU000387,6,2026-05-12,2026-05-16,In transit
OPEN000123,STR001,SKU000392,12,2026-05-13,2026-05-20,In transit
OPEN000124,STR001,SKU000393,24,2026-05-14,2026-05-17,In transit
OPEN000125,STR001,SKU000394,12,2026-05-15,2026-05-16,In transit
OPEN000126,STR001,SKU000397,12,2026-05-13,2026-05-16,In transit
OPEN000127,STR001,SKU000399,24,2026-05-12,2026-05-18,In transit
OPEN000128,STR001,SKU000401,6,2026-05-13,2026-05-17,In transit
OPEN000129,STR001,SKU000402,6,2026-05-12,2026-05-17,In transit
OPEN000130,STR001,SKU000404,12,2026-05-12,2026-05-16,In transit
OPEN000131,STR001,SKU000408,24,2026-05-14,2026-05-20,In transit
OPEN000132,STR001,SKU000410,3,2026-05-12,2026-05-16,In transit
OPEN000133,STR001,SKU000419,24,2026-05-15,2026-05-16,In transit
OPEN000134,STR001,SKU000430,24,2026-05-13,2026-05-20,In transit
OPEN000135,STR001,SKU000435,6,2026-05-14,2026-05-16,In transit
OPEN000136,STR001,SKU000436,12,2026-05-14,2026-05-16,In transit
OPEN000137,STR001,SKU000442,12,2026-05-12,2026-05-16,In transit
OPEN000138,STR001,SKU000443,12,2026-05-14,2026-05-20,In transit
OPEN000139,STR001,SKU000450,24,2026-05-12,2026-05-18,In transit
OPEN000140,STR001,SKU000453,12,2026-05-14,2026-05-18,In transit
OPEN000141,STR001,SKU000454,24,2026-05-13,2026-05-18,In transit
OPEN000142,STR001,SKU000459,6,2026-05-15,2026-05-18,In transit
OPEN000143,STR001,SKU000465,12,2026-05-15,2026-05-17,In transit
OPEN000144,STR001,SKU000469,6,2026-05-15,2026-05-17,In transit
OPEN000145,STR001,SKU000470,6,2026-05-13,2026-05-18,In transit
OPEN000146,STR001,SKU000472,3,2026-05-12,2026-05-20,In transit
OPEN000147,STR001,SKU000473,6,2026-05-13,2026-05-18,In transit
OPEN000148,STR001,SKU000474,24,2026-05-12,2026-05-17,In transit
OPEN000149,STR001,SKU000475,6,2026-05-13,2026-05-19,In transit
OPEN000150,STR001,SKU000481,12,2026-05-14,2026-05-19,In transit
OPEN000151,STR001,SKU000483,3,2026-05-13,2026-05-16,In transit
OPEN000152,STR001,SKU000485,6,2026-05-15,2026-05-18,In transit
OPEN000153,STR001,SKU000486,6,2026-05-12,2026-05-20,In transit
OPEN000154,STR001,SKU000495,12,2026-05-14,2026-05-18,In transit
OPEN000155,STR001,SKU000497,24,2026-05-12,2026-05-19,In transit
OPEN000156,STR001,SKU000501,3,2026-05-13,2026-05-19,In transit
OPEN000157,STR001,SKU000508,12,2026-05-15,2026-05-20,In transit
OPEN000158,STR001,SKU000509,24,2026-05-12,2026-05-16,In transit
OPEN000159,STR001,SKU000512,12,2026-05-15,2026-05-20,In transit
OPEN000160,STR001,SKU000517,12,2026-05-13,2026-05-16,In transit
OPEN000161,STR001,SKU000520,3,2026-05-14,2026-05-17,In transit
OPEN000162,STR001,SKU000525,6,2026-05-13,2026-05-18,In transit
OPEN000163,STR001,SKU000527,6,2026-05-12,2026-05-17,In transit
OPEN000164,STR001,SKU000528,24,2026-05-12,2026-05-19,In transit
OPEN000165,STR001,SKU000538,6,2026-05-12,2026-05-20,In transit
OPEN000166,STR001,SKU000539,6,2026-05-15,2026-05-20,In transit
OPEN000167,STR001,SKU000549,12,2026-05-14,2026-05-20,In transit
OPEN000168,STR001,SKU000551,12,2026-05-13,2026-05-20,In transit
OPEN000169,STR001,SKU000552,3,2026-05-15,2026-05-18,In transit
OPEN000170,STR001,SKU000555,12,2026-05-15,2026-05-19,In transit
OPEN000171,STR001,SKU000559,3,2026-05-13,2026-05-17,In transit
OPEN000172,STR001,SKU000561,24,2026-05-14,2026-05-17,In transit
OPEN000173,STR001,SKU000565,24,2026-05-15,2026-05-17,In transit
OPEN000174,STR001,SKU000566,24,2026-05-12,2026-05-18,In transit
OPEN000175,STR001,SKU000567,12,2026-05-14,2026-05-20,In transit
OPEN000176,STR001,SKU000568,6,2026-05-12,2026-05-16,In transit
OPEN000177,STR001,SKU000571,6,2026-05-15,2026-05-19,In transit
OPEN000178,STR001,SKU000575,24,2026-05-15,2026-05-19,In transit
OPEN000179,STR001,SKU000578,12,2026-05-14,2026-05-18,In transit
OPEN000180,STR001,SKU000583,24,2026-05-12,2026-05-20,In transit
OPEN000181,STR001,SKU000590,24,2026-05-15,2026-05-17,In transit
OPEN000182,STR001,SKU000595,12,2026-05-14,2026-05-20,In transit
OPEN000183,STR001,SKU000600,24,2026-05-14,2026-05-20,In transit
OPEN000184,STR001,SKU000604,6,2026-05-14,2026-05-16,In transit
OPEN000185,STR001,SKU000608,6,2026-05-12,2026-05-20,In transit
OPEN000186,STR001,SKU000613,6,2026-05-14,2026-05-17,In transit
OPEN000187,STR001,SKU000614,24,2026-05-15,2026-05-18,In transit
OPEN000188,STR001,SKU000616,6,2026-05-13,2026-05-20,In transit
OPEN000189,STR001,SKU000621,6,2026-05-13,2026-05-17,In transit
OPEN000190,STR001,SKU000622,24,2026-05-15,2026-05-18,In transit
OPEN000191,STR001,SKU000623,12,2026-05-15,2026-05-20,In transit
OPEN000192,STR001,SKU000624,12,2026-05-14,2026-05-20,In transit
OPEN000193,STR001,SKU000626,6,2026-05-13,2026-05-19,In transit
OPEN000194,STR001,SKU000629,24,2026-05-12,2026-05-20,In transit
OPEN000195,STR001,SKU000647,6,2026-05-15,2026-05-16,In transit
OPEN000196,STR001,SKU000649,6,2026-05-13,2026-05-16,In transit
OPEN000197,STR001,SKU000651,6,2026-05-14,2026-05-18,In transit
OPEN000198,STR001,SKU000654,12,2026-05-13,2026-05-20,In transit
OPEN000199,STR001,SKU000668,24,2026-05-12,2026-05-19,In transit
OPEN000200,STR001,SKU000676,6,2026-05-15,2026-05-17,In transit
OPEN000201,STR001,SKU000677,6,2026-05-15,2026-05-17,In transit
OPEN000202,STR001,SKU000685,6,2026-05-12,2026-05-17,In transit
OPEN000203,STR001,SKU000690,24,2026-05-15,2026-05-17,In transit
OPEN000204,STR001,SKU000691,6,2026-05-15,2026-05-18,In transit
OPEN000205,STR001,SKU000693,6,2026-05-12,2026-05-18,In transit
OPEN000206,STR001,SKU000695,12,2026-05-12,2026-05-19,In transit
OPEN000207,STR001,SKU000696,6,2026-05-15,2026-05-17,In transit
OPEN000208,STR001,SKU000698,3,2026-05-14,2026-05-16,In transit
OPEN000209,STR001,SKU000699,24,2026-05-13,2026-05-16,In transit
OPEN000210,STR001,SKU000701,3,2026-05-14,2026-05-17,In transit
OPEN000211,STR001,SKU000702,6,2026-05-15,2026-05-16,In transit
OPEN000212,STR001,SKU000703,12,2026-05-15,2026-05-19,In transit
OPEN000213,STR001,SKU000704,3,2026-05-12,2026-05-16,In transit
OPEN000214,STR001,SKU000705,12,2026-05-14,2026-05-18,In transit
OPEN000215,STR001,SKU000707,6,2026-05-14,2026-05-16,In transit
OPEN000216,STR001,SKU000711,6,2026-05-15,2026-05-20,In transit
OPEN000217,STR001,SKU000721,24,2026-05-13,2026-05-17,In transit
OPEN000218,STR001,SKU000724,12,2026-05-13,2026-05-20,In transit
OPEN000219,STR001,SKU000730,24,2026-05-14,2026-05-19,In transit
OPEN000220,STR001,SKU000734,6,2026-05-15,2026-05-20,In transit
OPEN000221,STR001,SKU000736,3,2026-05-13,2026-05-20,In transit
OPEN000222,STR001,SKU000737,6,2026-05-14,2026-05-20,In transit
OPEN000223,STR001,SKU000742,24,2026-05-12,2026-05-18,In transit
OPEN000224,STR001,SKU000743,24,2026-05-13,2026-05-16,In transit
OPEN000225,STR001,SKU000744,6,2026-05-15,2026-05-18,In transit
OPEN000226,STR001,SKU000752,3,2026-05-14,2026-05-18,In transit
OPEN000227,STR001,SKU000753,6,2026-05-15,2026-05-18,In transit
OPEN000228,STR001,SKU000757,3,2026-05-14,2026-05-16,In transit
OPEN000229,STR001,SKU000758,24,2026-05-15,2026-05-20,In transit
OPEN000230,STR001,SKU000763,6,2026-05-12,2026-05-19,In transit
OPEN000231,STR001,SKU000764,3,2026-05-14,2026-05-16,In transit
OPEN000232,STR001,SKU000768,6,2026-05-12,2026-05-19,In transit
OPEN000233,STR001,SKU000769,12,2026-05-13,2026-05-18,In transit
OPEN000234,STR001,SKU000776,3,2026-05-12,2026-05-18,In transit
OPEN000235,STR001,SKU000777,12,2026-05-15,2026-05-17,In transit
OPEN000236,STR001,SKU000783,12,2026-05-12,2026-05-17,In transit
OPEN000237,STR001,SKU000784,12,2026-05-14,2026-05-20,In transit
OPEN000238,STR001,SKU000785,6,2026-05-14,2026-05-18,In transit
OPEN000239,STR001,SKU000789,24,2026-05-13,2026-05-18,In transit
OPEN000240,STR001,SKU000790,12,2026-05-12,2026-05-16,In transit
OPEN000241,STR001,SKU000792,6,2026-05-14,2026-05-19,In transit
OPEN000242,STR001,SKU000793,24,2026-05-12,2026-05-16,In transit
OPEN000243,STR001,SKU000794,12,2026-05-15,2026-05-16,In transit
OPEN000244,STR001,SKU000795,12,2026-05-15,2026-05-17,In transit
OPEN000245,STR001,SKU000796,3,2026-05-12,2026-05-20,In transit
OPEN000246,STR001,SKU000797,12,2026-05-14,2026-05-18,In transit
OPEN000247,STR001,SKU000800,12,2026-05-13,2026-05-19,In transit
OPEN000248,STR001,SKU000802,4,2026-05-14,2026-05-18,In transit
OPEN000249,STR001,SKU000804,4,2026-05-15,2026-05-20,In transit
OPEN000250,STR001,SKU000822,4,2026-05-14,2026-05-17,In transit
OPEN000251,STR001,SKU000823,2,2026-05-14,2026-05-17,In transit
OPEN000252,STR001,SKU000824,2,2026-05-12,2026-05-16,In transit
OPEN000253,STR001,SKU000828,4,2026-05-14,2026-05-16,In transit
OPEN000254,STR001,SKU000830,2,2026-05-13,2026-05-17,In transit
OPEN000255,STR001,SKU000833,8,2026-05-14,2026-05-18,In transit
OPEN000256,STR001,SKU000841,2,2026-05-13,2026-05-17,In transit
OPEN000257,STR001,SKU000842,4,2026-05-13,2026-05-16,In transit
OPEN000258,STR001,SKU000843,1,2026-05-15,2026-05-16,In transit
OPEN000259,STR001,SKU000850,1,2026-05-15,2026-05-20,In transit
OPEN000260,STR001,SKU000863,1,2026-05-15,2026-05-18,In transit
OPEN000261,STR001,SKU000869,8,2026-05-13,2026-05-18,In transit
OPEN000262,STR001,SKU000877,2,2026-05-13,2026-05-16,In transit
OPEN000263,STR001,SKU000883,2,2026-05-13,2026-05-20,In transit
OPEN000264,STR001,SKU000884,4,2026-05-15,2026-05-20,In transit
OPEN000265,STR001,SKU000889,2,2026-05-13,2026-05-19,In transit
OPEN000266,STR001,SKU000890,4,2026-05-12,2026-05-18,In transit
OPEN000267,STR001,SKU000891,8,2026-05-15,2026-05-17,In transit
OPEN000268,STR001,SKU000894,2,2026-05-15,2026-05-20,In transit
OPEN000269,STR001,SKU000897,8,2026-05-13,2026-05-20,In transit
OPEN000270,STR001,SKU000900,8,2026-05-15,2026-05-17,In transit
OPEN000271,STR001,SKU000903,4,2026-05-15,2026-05-16,In transit
OPEN000272,STR001,SKU000905,2,2026-05-12,2026-05-19,In transit
OPEN000273,STR001,SKU000907,4,2026-05-13,2026-05-18,In transit
OPEN000274,STR001,SKU000921,2,2026-05-12,2026-05-18,In transit
OPEN000275,STR001,SKU000926,4,2026-05-15,2026-05-20,In transit
OPEN000276,STR001,SKU000932,8,2026-05-15,2026-05-18,In transit
OPEN000277,STR001,SKU000933,2,2026-05-14,2026-05-16,In transit
OPEN000278,STR001,SKU000942,8,2026-05-12,2026-05-18,In transit
OPEN000279,STR001,SKU000944,4,2026-05-14,2026-05-16,In transit
OPEN000280,STR001,SKU000945,4,2026-05-14,2026-05-17,In transit
OPEN000281,STR001,SKU000963,4,2026-05-15,2026-05-20,In transit
OPEN000282,STR001,SKU000966,4,2026-05-14,2026-05-18,In transit
OPEN000283,STR001,SKU000970,4,2026-05-14,2026-05-18,In transit
OPEN000284,STR001,SKU000977,8,2026-05-14,2026-05-16,In transit
OPEN000285,STR001,SKU000979,4,2026-05-13,2026-05-17,In transit
OPEN000286,STR001,SKU000988,8,2026-05-14,2026-05-16,In transit
OPEN000287,STR001,SKU000991,4,2026-05-12,2026-05-16,In transit
OPEN000288,STR001,SKU000997,8,2026-05-12,2026-05-17,In transit
OPEN000289,STR001,SKU001001,2,2026-05-15,2026-05-19,In transit
OPEN000290,STR001,SKU001005,2,2026-05-15,2026-05-19,In transit
OPEN000291,STR001,SKU001012,1,2026-05-14,2026-05-18,In transit
OPEN000292,STR001,SKU001013,1,2026-05-15,2026-05-20,In transit
OPEN000293,STR001,SKU001015,2,2026-05-15,2026-05-16,In transit
OPEN000294,STR001,SKU001020,4,2026-05-12,2026-05-18,In transit
OPEN000295,STR001,SKU001024,2,2026-05-15,2026-05-19,In transit
OPEN000296,STR001,SKU001027,1,2026-05-13,2026-05-16,In transit
OPEN000297,STR001,SKU001035,8,2026-05-12,2026-05-18,In transit
OPEN000298,STR001,SKU001038,8,2026-05-12,2026-05-19,In transit
OPEN000299,STR001,SKU001039,4,2026-05-12,2026-05-19,In transit
OPEN000300,STR001,SKU001040,4,2026-05-13,2026-05-18,In transit
OPEN000301,STR001,SKU001042,4,2026-05-15,2026-05-18,In transit
OPEN000302,STR001,SKU001045,8,2026-05-13,2026-05-16,In transit
OPEN000303,STR001,SKU001048,1,2026-05-12,2026-05-20,In transit
OPEN000304,STR001,SKU001064,4,2026-05-15,2026-05-18,In transit
OPEN000305,STR001,SKU001065,8,2026-05-13,2026-05-20,In transit
OPEN000306,STR001,SKU001069,1,2026-05-13,2026-05-16,In transit
OPEN000307,STR001,SKU001073,1,2026-05-12,2026-05-16,In transit
OPEN000308,STR001,SKU001075,4,2026-05-14,2026-05-16,In transit
OPEN000309,STR001,SKU001077,1,2026-05-12,2026-05-19,In transit
OPEN000310,STR001,SKU001079,4,2026-05-15,2026-05-16,In transit
OPEN000311,STR001,SKU001080,1,2026-05-14,2026-05-17,In transit
OPEN000312,STR001,SKU001081,8,2026-05-13,2026-05-18,In transit
OPEN000313,STR001,SKU001083,4,2026-05-12,2026-05-17,In transit
OPEN000314,STR001,SKU001086,1,2026-05-14,2026-05-20,In transit
OPEN000315,STR001,SKU001099,2,2026-05-15,2026-05-18,In transit
OPEN000316,STR001,SKU001100,4,2026-05-12,2026-05-16,In transit
OPEN000317,STR001,SKU001101,4,2026-05-13,2026-05-17,In transit
OPEN000318,STR001,SKU001106,2,2026-05-12,2026-05-19,In transit
OPEN000319,STR001,SKU001122,2,2026-05-13,2026-05-19,In transit
OPEN000320,STR001,SKU001124,4,2026-05-12,2026-05-16,In transit
OPEN000321,STR001,SKU001139,1,2026-05-15,2026-05-19,In transit
OPEN000322,STR001,SKU001148,4,2026-05-14,2026-05-16,In transit
OPEN000323,STR001,SKU001149,4,2026-05-14,2026-05-20,In transit
OPEN000324,STR001,SKU001150,1,2026-05-15,2026-05-20,In transit
OPEN000325,STR001,SKU001156,8,2026-05-15,2026-05-19,In transit
OPEN000326,STR001,SKU001163,8,2026-05-15,2026-05-18,In transit
OPEN000327,STR001,SKU001165,4,2026-05-13,2026-05-18,In transit
OPEN000328,STR001,SKU001166,8,2026-05-12,2026-05-16,In transit
OPEN000329,STR001,SKU001167,8,2026-05-14,2026-05-20,In transit
OPEN000330,STR001,SKU001171,1,2026-05-14,2026-05-18,In transit
OPEN000331,STR001,SKU001172,1,2026-05-13,2026-05-20,In transit
OPEN000332,STR001,SKU001173,4,2026-05-14,2026-05-16,In transit
OPEN000333,STR001,SKU001177,2,2026-05-15,2026-05-16,In transit
OPEN000334,STR001,SKU001178,4,2026-05-12,2026-05-17,In transit
OPEN000335,STR001,SKU001180,8,2026-05-14,2026-05-19,In transit
OPEN000336,STR001,SKU001184,2,2026-05-15,2026-05-20,In transit
OPEN000337,STR001,SKU001188,8,2026-05-14,2026-05-16,In transit
OPEN000338,STR001,SKU001193,1,2026-05-12,2026-05-18,In transit
OPEN000339,STR001,SKU001195,4,2026-05-15,2026-05-20,In transit
OPEN000340,STR001,SKU001196,2,2026-05-12,2026-05-17,In transit
OPEN000341,STR001,SKU001198,2,2026-05-15,2026-05-16,In transit
OPEN000342,STR001,SKU001199,4,2026-05-15,2026-05-16,In transit
OPEN000343,STR002,SKU000002,6,2026-05-13,2026-05-19,In transit
OPEN000344,STR002,SKU000012,6,2026-05-12,2026-05-19,In transit
OPEN000345,STR002,SKU000018,6,2026-05-14,2026-05-18,In transit
OPEN000346,STR002,SKU000030,6,2026-05-12,2026-05-16,In transit
OPEN000347,STR002,SKU000031,6,2026-05-13,2026-05-20,In transit
OPEN000348,STR002,SKU000039,6,2026-05-13,2026-05-17,In transit
OPEN000349,STR002,SKU000044,3,2026-05-12,2026-05-16,In transit
OPEN000350,STR002,SKU000046,6,2026-05-14,2026-05-16,In transit
OPEN000351,STR002,SKU000050,6,2026-05-12,2026-05-20,In transit
OPEN000352,STR002,SKU000053,24,2026-05-12,2026-05-17,In transit
OPEN000353,STR002,SKU000056,6,2026-05-13,2026-05-19,In transit
OPEN000354,STR002,SKU000058,24,2026-05-15,2026-05-16,In transit
OPEN000355,STR002,SKU000062,3,2026-05-14,2026-05-19,In transit
OPEN000356,STR002,SKU000063,24,2026-05-15,2026-05-17,In transit
OPEN000357,STR002,SKU000065,6,2026-05-13,2026-05-19,In transit
OPEN000358,STR002,SKU000066,12,2026-05-15,2026-05-19,In transit
OPEN000359,STR002,SKU000067,12,2026-05-14,2026-05-16,In transit
OPEN000360,STR002,SKU000087,12,2026-05-13,2026-05-19,In transit
OPEN000361,STR002,SKU000088,12,2026-05-15,2026-05-16,In transit
OPEN000362,STR002,SKU000089,12,2026-05-15,2026-05-19,In transit
OPEN000363,STR002,SKU000092,12,2026-05-15,2026-05-17,In transit
OPEN000364,STR002,SKU000094,6,2026-05-15,2026-05-17,In transit
OPEN000365,STR002,SKU000096,6,2026-05-15,2026-05-20,In transit
OPEN000366,STR002,SKU000105,12,2026-05-15,2026-05-17,In transit
OPEN000367,STR002,SKU000106,6,2026-05-13,2026-05-16,In transit
OPEN000368,STR002,SKU000109,24,2026-05-15,2026-05-17,In transit
OPEN000369,STR002,SKU000112,12,2026-05-12,2026-05-20,In transit
OPEN000370,STR002,SKU000114,6,2026-05-12,2026-05-19,In transit
OPEN000371,STR002,SKU000121,24,2026-05-15,2026-05-16,In transit
OPEN000372,STR002,SKU000127,12,2026-05-12,2026-05-20,In transit
OPEN000373,STR002,SKU000129,12,2026-05-12,2026-05-19,In transit
OPEN000374,STR002,SKU000130,12,2026-05-15,2026-05-20,In transit
OPEN000375,STR002,SKU000131,3,2026-05-13,2026-05-18,In transit
OPEN000376,STR002,SKU000134,6,2026-05-12,2026-05-16,In transit
