store_id,sku_id,forecast_daily_sales_base,forecast_next_7_units,forecast_next_14_units,forecast_next_28_units,forecast_confidence,under_forecast_bias,seasonal_index,promo_uplift_pct,promo_flag_next_28d
STR001,SKU000031,0.2532,1.63,3.26,6.52,0.92,0.212,0.92,0.0,0
STR001,SKU000032,0.1477,0.92,1.84,3.68,0.88,0.197,0.89,0.0,0
STR001,SKU000033,0.4106,4.86,9.73,19.45,0.82,0.155,0.94,0.8,1
STR001,SKU000034,0.0857,0.94,1.87,3.74,0.87,-0.004,1.04,0.5,1
STR001,SKU000035,0.0492,0.34,0.69,1.38,0.68,0.022,1.0,0.0,0
STR001,SKU000038,0.1036,0.97,1.94,3.88,0.93,-0.157,1.07,0.25,1
STR001,SKU000039,0.0473,0.4,0.79,1.59,0.89,-0.155,1.2,0.0,0
STR001,SKU000040,0.4013,3.06,6.12,12.25,0.82,0.214,1.09,0.0,0
STR001,SKU000041,1.0685,7.78,15.56,31.12,0.68,-0.086,1.04,0.0,0
STR001,SKU000042,0.17,1.21,2.43,4.86,0.75,0.178,1.02,0.0,0
STR001,SKU000043,0.0278,0.29,0.58,1.16,0.63,0.172,1.19,0.25,1
STR001,SKU000045,0.0141,0.12,0.24,0.47,0.68,-0.134,1.2,0.0,0
STR001,SKU000046,0.0187,0.12,0.25,0.5,0.86,-0.03,0.95,0.0,0
STR001,SKU000047,0.1321,1.12,2.24,4.47,0.9,-0.001,1.21,0.0,0
STR001,SKU000048,0.1294,0.91,1.83,3.66,0.93,0.047,1.01,0.0,0
STR001,SKU000049,0.3031,2.36,4.71,9.42,0.81,-0.091,1.11,0.0,0
STR001,SKU000052,0.373,2.66,5.33,10.65,0.89,0.084,1.02,0.0,0
STR001,SKU000053,0.111,0.85,1.71,3.42,0.69,-0.173,1.1,0.0,0
STR001,SKU000054,0.1365,0.96,1.91,3.82,0.84,0.17,1.0,0.0,0
STR001,SKU000055,0.3801,3.19,6.39,12.77,0.91,-0.112,1.2,0.0,0
STR001,SKU000057,0.6413,4.94,9.88,19.75,0.7,-0.016,1.1,0.0,0
STR001,SKU000059,0.2358,2.91,5.82,11.65,0.67,-0.066,0.98,0.8,1
STR001,SKU000060,0.0695,0.48,0.96,1.93,0.88,-0.112,0.99,0.0,0
STR001,SKU000061,0.2197,1.32,2.65,5.29,0.89,0.192,0.86,0.0,0
STR001,SKU000064,0.0053,0.04,0.08,0.17,0.95,0.188,1.14,0.0,0
STR001,SKU000065,0.033,0.21,0.42,0.83,0.81,-0.077,0.9,0.0,0
STR001,SKU000066,0.2524,1.55,3.11,6.22,0.96,0.17,0.88,0.0,0
STR001,SKU000067,0.3707,2.49,4.98,9.96,0.74,-0.099,0.96,0.0,0
STR001,SKU000068,0.1276,1.01,2.02,4.04,0.88,-0.075,1.13,0.0,0
STR001,SKU000069,0.0555,0.38,0.76,1.52,0.7,-0.041,0.98,0.0,0
STR001,SKU000071,0.2192,1.63,3.25,6.51,0.77,0.213,1.06,0.0,0
STR001,SKU000072,0.1322,0.81,1.61,3.22,0.95,0.194,0.87,0.0,0
STR001,SKU000075,0.0295,0.23,0.47,0.93,0.87,0.026,1.13,0.0,0
STR001,SKU000076,0.1387,0.87,1.75,3.5,0.84,0.102,0.9,0.0,0
STR001,SKU000077,0.2794,1.98,3.95,7.9,0.78,-0.027,1.01,0.0,0
STR001,SKU000078,0.1021,0.66,1.33,2.66,0.87,0.167,0.93,0.0,0
STR001,SKU000079,0.3365,2.43,4.85,9.71,0.69,-0.033,1.03,0.0,0
STR001,SKU000080,0.1685,1.04,2.08,4.15,0.77,0.137,0.88,0.0,0
STR001,SKU000083,0.2127,1.58,3.16,6.31,0.64,0.131,1.06,0.0,0
STR001,SKU000085,0.0297,0.19,0.37,0.74,0.65,0.061,0.89,0.0,0
STR001,SKU000087,0.0568,0.42,0.84,1.67,0.64,0.039,1.05,0.0,0
STR001,SKU000088,0.1118,0.78,1.56,3.13,0.64,0.018,1.0,0.0,0
STR001,SKU000089,0.2652,1.71,3.42,6.83,0.82,-0.039,0.92,0.0,0
STR001,SKU000090,0.0125,0.1,0.2,0.39,0.66,0.219,1.13,0.0,0
STR001,SKU000091,0.7434,5.52,11.03,22.06,0.78,-0.054,1.06,0.0,0
STR001,SKU000092,0.4468,3.5,7.01,14.01,0.76,-0.167,1.12,0.0,0
STR001,SKU000093,0.1023,0.73,1.46,2.92,0.92,0.144,1.02,0.0,0
STR001,SKU000094,0.0929,0.72,1.44,2.89,0.73,-0.121,1.11,0.0,0
STR001,SKU000095,0.1779,1.3,2.59,5.18,0.71,-0.168,1.04,0.0,0
STR001,SKU000096,0.1108,0.8,1.6,3.19,0.78,0.102,1.03,0.0,0
STR001,SKU000099,0.0467,0.36,0.72,1.44,0.95,0.14,1.1,0.0,0
STR001,SKU000100,0.7248,4.92,9.84,19.68,0.79,0.148,0.97,0.0,0
STR001,SKU000101,0.0909,0.63,1.26,2.52,0.82,-0.143,0.99,0.0,0
STR001,SKU000102,0.0144,0.1,0.2,0.41,0.81,-0.137,1.01,0.0,0
STR001,SKU000104,0.1635,1.0,1.99,3.98,0.88,0.049,0.87,0.0,0
STR001,SKU000106,0.0709,0.54,1.08,2.16,0.78,-0.072,1.09,0.0,0
STR001,SKU000108,0.1491,0.98,1.96,3.92,0.76,-0.141,0.94,0.0,0
STR001,SKU000109,0.2454,1.67,3.33,6.67,0.94,0.09,0.97,0.0,0
STR001,SKU000110,0.0354,0.25,0.5,0.99,0.89,-0.14,1.0,0.0,0
STR001,SKU000111,0.0336,0.23,0.47,0.93,0.87,-0.122,0.86,0.15,1
STR001,SKU000112,0.0248,0.37,0.74,1.49,0.89,-0.179,1.19,0.8,1
STR001,SKU000113,0.04,0.33,0.67,1.33,0.93,0.02,1.19,0.0,0
STR001,SKU000115,0.0027,0.02,0.04,0.09,0.8,0.116,1.16,0.0,0
STR001,SKU000117,0.0316,0.23,0.46,0.91,0.86,0.195,1.03,0.0,0
STR001,SKU000119,0.0124,0.14,0.28,0.55,0.9,-0.16,1.17,0.35,1
STR001,SKU000120,0.0162,0.11,0.22,0.44,0.94,-0.115,0.96,0.0,0
STR001,SKU000122,0.028,0.18,0.36,0.73,0.74,0.212,0.93,0.0,0
STR001,SKU000123,0.3542,2.38,4.76,9.52,0.85,0.029,0.96,0.0,0
STR001,SKU000124,0.3882,4.26,8.51,17.02,0.69,0.015,0.87,0.8,1
STR001,SKU000125,0.0704,0.43,0.86,1.71,0.66,-0.011,0.87,0.0,0
STR001,SKU000126,0.3959,2.52,5.04,10.09,0.67,-0.114,0.91,0.0,0
STR001,SKU000127,0.8626,5.31,10.63,21.25,0.7,0.011,0.88,0.0,0
STR001,SKU000130,0.3423,2.23,4.46,8.91,0.71,0.086,0.93,0.0,0
STR001,SKU000131,0.6723,7.24,14.48,28.97,0.92,-0.032,1.14,0.35,1
STR001,SKU000132,0.1497,1.24,2.47,4.95,0.7,-0.082,1.18,0.0,0
STR001,SKU000133,0.2249,1.5,2.99,5.98,0.8,0.126,0.95,0.0,0
STR001,SKU000134,0.0262,0.19,0.38,0.76,0.62,0.194,1.04,0.0,0
STR001,SKU000137,0.4757,3.66,7.33,14.65,0.92,0.089,1.1,0.0,0
STR001,SKU000138,0.03,0.23,0.47,0.94,0.93,-0.104,1.12,0.0,0
STR001,SKU000139,0.153,1.2,2.4,4.8,0.78,0.134,1.12,0.0,0
STR001,SKU000140,0.0157,0.11,0.21,0.42,0.82,0.16,0.96,0.0,0
STR001,SKU000141,0.0667,0.49,0.98,1.96,0.87,0.16,1.05,0.0,0
STR001,SKU000142,0.1716,1.14,2.28,4.56,0.89,0.16,0.95,0.0,0
STR001,SKU000144,0.2096,1.42,2.85,5.69,0.8,0.142,0.97,0.0,0
STR001,SKU000145,0.2751,2.25,4.51,9.01,0.95,0.152,1.17,0.0,0
STR001,SKU000146,0.0125,0.1,0.21,0.41,0.75,0.055,1.18,0.0,0
STR001,SKU000147,0.091,0.75,1.5,3.01,0.85,0.114,1.18,0.0,0
STR001,SKU000148,0.2722,1.68,3.35,6.71,0.75,-0.048,0.88,0.0,0
STR001,SKU000149,0.1115,0.77,1.55,3.09,0.72,-0.169,0.99,0.0,0
STR001,SKU000150,0.0619,0.42,0.83,1.66,0.69,-0.041,0.96,0.0,0
STR001,SKU000151,0.0155,0.11,0.22,0.44,0.93,-0.163,1.0,0.0,0
STR001,SKU000152,0.0368,0.29,0.59,1.17,0.91,-0.118,1.14,0.0,0
STR001,SKU000153,0.1519,1.11,2.21,4.42,0.7,0.219,1.04,0.0,0
STR001,SKU000154,0.0661,0.45,0.91,1.81,0.85,0.139,0.98,0.0,0
STR001,SKU000155,0.2979,2.19,4.38,8.76,0.93,0.136,1.05,0.0,0
STR001,SKU000156,0.1414,0.99,1.98,3.96,0.62,-0.134,1.0,0.0,0
STR001,SKU000157,0.5413,4.62,9.25,18.49,0.72,-0.104,1.22,0.0,0
STR001,SKU000158,0.0252,0.3,0.59,1.19,0.87,0.135,1.12,0.5,1
STR001,SKU000159,0.0089,0.08,0.15,0.31,0.64,-0.109,0.91,0.35,1
STR001,SKU000160,0.124,0.87,1.74,3.47,0.77,0.019,1.0,0.0,0
STR001,SKU000162,0.0402,0.34,0.68,1.35,0.94,0.026,1.2,0.0,0
STR001,SKU000163,0.4614,3.78,7.56,15.12,0.69,-0.048,1.17,0.0,0
STR001,SKU000164,0.0248,0.16,0.31,0.62,0.79,0.126,0.9,0.0,0
STR001,SKU000167,0.2,2.12,4.23,8.47,0.85,0.093,1.21,0.25,1
STR001,SKU000168,0.2259,1.58,3.16,6.32,0.75,0.031,1.0,0.0,0
STR001,SKU000169,0.0559,0.43,0.87,1.74,0.67,0.091,1.11,0.0,0
STR001,SKU000171,0.0972,0.76,1.52,3.05,0.92,0.023,1.12,0.0,0
STR001,SKU000173,0.0227,0.14,0.28,0.56,0.9,0.134,0.89,0.0,0
STR001,SKU000174,0.2384,1.69,3.37,6.74,0.7,0.026,1.01,0.0,0
STR001,SKU000175,0.0709,0.66,1.32,2.65,0.7,-0.031,1.16,0.15,1
STR001,SKU000176,0.0486,0.37,0.74,1.47,0.69,-0.054,1.08,0.0,0
STR001,SKU000178,0.1106,0.89,1.78,3.56,0.76,-0.159,1.15,0.0,0
STR001,SKU000179,0.1,0.82,1.64,3.28,0.85,-0.138,1.17,0.0,0
STR001,SKU000180,0.002,0.01,0.02,0.05,0.83,0.044,0.86,0.0,0
STR001,SKU000181,0.0442,0.3,0.59,1.19,0.95,-0.173,0.96,0.0,0
STR001,SKU000182,0.0372,0.28,0.56,1.13,0.85,0.053,1.08,0.0,0
STR001,SKU000183,0.0021,0.02,0.03,0.06,0.75,0.183,1.04,0.0,0
STR001,SKU000184,0.0051,0.04,0.07,0.15,0.67,-0.134,1.02,0.0,0
STR001,SKU000186,0.014,0.11,0.21,0.42,0.77,0.04,1.07,0.0,0
STR001,SKU000187,0.0198,0.17,0.33,0.66,0.81,0.055,1.2,0.0,0
STR001,SKU000188,0.0392,0.26,0.52,1.04,0.87,-0.13,0.95,0.0,0
STR001,SKU000190,0.0315,0.23,0.46,0.93,0.78,-0.116,1.05,0.0,0
STR001,SKU000191,1.0028,6.95,13.9,27.8,0.83,0.107,0.99,0.0,0
STR001,SKU000192,0.1688,1.36,2.72,5.44,0.77,0.111,1.15,0.0,0
STR001,SKU000193,0.3669,2.18,4.37,8.73,0.73,0.058,0.85,0.0,0
STR001,SKU000194,0.1803,1.82,3.65,7.29,0.64,-0.09,1.07,0.35,1
STR001,SKU000195,0.4003,2.97,5.94,11.88,0.7,0.103,1.06,0.0,0
STR001,SKU000196,0.1216,1.02,2.04,4.09,0.62,0.064,1.2,0.0,0
STR001,SKU000197,0.3151,2.01,4.01,8.03,0.84,0.158,0.91,0.0,0
STR001,SKU000198,0.112,0.75,1.49,2.98,0.64,0.059,0.95,0.0,0
STR001,SKU000199,0.1092,0.76,1.51,3.03,0.72,0.21,0.99,0.0,0
STR001,SKU000200,0.007,0.05,0.11,0.21,0.78,0.085,1.08,0.0,0
STR001,SKU000201,0.0898,0.62,1.24,2.49,0.84,0.112,0.99,0.0,0
STR001,SKU000203,0.8604,7.05,14.09,28.19,0.74,-0.059,1.17,0.0,0
STR001,SKU000205,0.2276,1.45,2.9,5.8,0.75,0.058,0.91,0.0,0
STR001,SKU000206,0.0423,0.31,0.62,1.24,0.67,0.136,1.05,0.0,0
STR001,SKU000207,0.2128,1.52,3.04,6.08,0.82,-0.067,1.02,0.0,0
STR001,SKU000212,0.0066,0.05,0.09,0.18,0.86,-0.163,1.0,0.0,0
STR001,SKU000213,0.3673,2.47,4.94,9.87,0.8,-0.047,0.96,0.0,0
STR001,SKU000214,0.0057,0.04,0.09,0.18,0.71,0.011,1.1,0.0,0
STR001,SKU000216,0.0376,0.3,0.6,1.2,0.92,-0.057,1.14,0.0,0
STR001,SKU000217,0.0391,0.28,0.56,1.13,0.64,0.006,1.03,0.0,0
STR001,SKU000218,0.0413,0.31,0.62,1.24,0.85,0.078,1.07,0.0,0
STR001,SKU000219,0.0765,0.55,1.09,2.19,0.83,0.197,1.02,0.0,0
STR001,SKU000221,0.3479,2.92,5.84,11.69,0.74,-0.032,1.2,0.0,0
STR001,SKU000222,0.1657,1.0,2.0,3.99,0.73,0.013,0.86,0.0,0
STR001,SKU000223,0.098,0.64,1.28,2.55,0.72,-0.067,0.93,0.0,0
STR001,SKU000224,0.098,0.67,1.34,2.69,0.69,-0.012,0.98,0.0,0
STR001,SKU000225,0.0999,0.83,1.66,3.33,0.69,0.016,1.19,0.0,0
STR001,SKU000226,0.0543,0.39,0.78,1.57,0.65,-0.081,1.03,0.0,0
STR001,SKU000228,0.4239,6.41,12.82,25.64,0.92,-0.08,1.2,0.8,1
STR001,SKU000229,0.0607,0.38,0.76,1.53,0.74,0.137,0.9,0.0,0
STR001,SKU000230,0.0241,0.16,0.31,0.63,0.87,0.009,0.93,0.0,0
STR001,SKU000231,0.0686,0.59,1.17,2.34,0.79,0.016,1.22,0.0,0
STR001,SKU000232,0.1237,0.78,1.56,3.12,0.87,0.196,0.9,0.0,0
STR001,SKU000233,0.0091,0.07,0.14,0.27,0.72,0.052,1.07,0.0,0
STR001,SKU000234,0.5443,3.66,7.32,14.63,0.96,0.059,0.96,0.0,0
STR001,SKU000237,0.448,3.36,6.71,13.42,0.77,-0.076,1.07,0.0,0
STR001,SKU000238,0.1862,1.29,2.58,5.16,0.84,-0.177,0.99,0.0,0
STR001,SKU000239,0.0666,0.45,0.9,1.81,0.82,-0.08,0.97,0.0,0
STR001,SKU000240,0.0719,0.59,1.18,2.35,0.89,0.125,1.17,0.0,0
STR001,SKU000241,0.013,0.08,0.17,0.34,0.7,0.208,0.93,0.0,0
STR001,SKU000242,0.1018,0.66,1.31,2.62,0.67,0.218,0.92,0.0,0
STR001,SKU000244,0.1675,1.29,2.58,5.16,0.62,-0.017,1.1,0.0,0
STR001,SKU000245,0.0295,0.2,0.39,0.78,0.79,-0.091,0.95,0.0,0
STR001,SKU000246,0.1167,0.97,1.94,3.89,0.94,-0.131,1.19,0.0,0
STR001,SKU000247,0.5728,4.41,8.82,17.64,0.63,-0.026,1.1,0.0,0
STR001,SKU000251,0.055,0.38,0.77,1.54,0.89,-0.009,1.0,0.0,0
STR001,SKU000252,0.0553,0.45,0.9,1.8,0.7,0.203,1.16,0.0,0
STR001,SKU000255,0.0288,0.2,0.4,0.81,0.86,-0.048,1.0,0.0,0
STR001,SKU000256,0.1663,1.12,2.23,4.47,0.69,0.038,0.96,0.0,0
STR001,SKU000257,0.2387,2.02,4.04,8.09,0.88,-0.029,1.21,0.0,0
STR001,SKU000258,0.5089,3.31,6.63,13.25,0.75,-0.142,0.93,0.0,0
STR001,SKU000260,0.3323,2.54,5.07,10.14,0.74,0.106,1.09,0.0,0
STR001,SKU000262,0.2499,1.75,3.5,7.0,0.69,-0.016,1.0,0.0,0
STR001,SKU000264,0.026,0.19,0.39,0.77,0.79,-0.018,1.06,0.0,0
STR001,SKU000265,0.3181,2.69,5.39,10.78,0.65,-0.142,1.21,0.0,0
STR001,SKU000266,0.1659,1.29,2.58,5.16,0.82,0.047,1.11,0.0,0
STR001,SKU000267,0.4676,3.01,6.02,12.05,0.87,-0.179,0.92,0.0,0
STR001,SKU000268,0.0619,0.48,0.95,1.91,0.67,0.134,1.1,0.0,0
STR001,SKU000269,0.1385,0.93,1.86,3.72,0.89,-0.078,0.96,0.0,0
STR001,SKU000270,0.3269,2.13,4.26,8.51,0.63,0.187,0.93,0.0,0
STR001,SKU000271,0.1764,1.2,2.4,4.79,0.76,0.024,0.97,0.0,0
STR001,SKU000272,0.0565,0.34,0.69,1.38,0.67,-0.113,0.87,0.0,0
STR001,SKU000273,0.2346,1.71,3.42,6.83,0.96,0.135,1.04,0.0,0
STR001,SKU000275,0.0148,0.11,0.22,0.44,0.72,-0.081,1.06,0.0,0
STR001,SKU000276,0.0284,0.19,0.38,0.76,0.95,-0.064,0.95,0.0,0
STR001,SKU000278,0.2479,1.54,3.09,6.18,0.82,0.162,0.89,0.0,0
STR001,SKU000279,0.0504,0.41,0.81,1.62,0.68,0.122,1.15,0.0,0
STR001,SKU000281,0.54,3.7,7.41,14.82,0.93,0.216,0.98,0.0,0
STR001,SKU000282,0.3713,2.88,5.77,11.54,0.65,-0.059,1.11,0.0,0
STR001,SKU000284,0.2254,1.44,2.87,5.74,0.69,-0.176,0.91,0.0,0
STR001,SKU000285,0.2624,1.98,3.97,7.94,0.83,0.113,1.08,0.0,0
STR001,SKU000287,0.3889,2.56,5.12,10.24,0.96,0.156,0.94,0.0,0
STR001,SKU000290,0.7408,5.91,11.82,23.65,0.82,0.043,1.14,0.0,0
STR001,SKU000291,0.0566,0.51,1.02,2.04,0.64,-0.162,1.03,0.25,1
STR001,SKU000293,0.2109,1.25,2.51,5.02,0.67,-0.087,0.85,0.0,0
STR001,SKU000294,0.0189,0.13,0.25,0.51,0.78,0.078,0.96,0.0,0
STR001,SKU000295,0.3192,2.7,5.41,10.81,0.9,-0.104,1.21,0.0,0
STR001,SKU000297,0.2019,1.41,2.83,5.65,0.8,-0.137,1.0,0.0,0
STR001,SKU000298,0.0558,0.34,0.67,1.34,0.77,0.147,0.86,0.0,0
STR001,SKU000299,0.027,0.19,0.37,0.75,0.72,0.196,0.99,0.0,0
STR001,SKU000300,0.0461,0.38,0.76,1.52,0.65,0.188,1.18,0.0,0
STR001,SKU000301,0.5759,3.63,7.26,14.51,0.87,0.188,0.9,0.0,0
STR001,SKU000302,0.1639,1.06,2.11,4.22,0.64,0.047,0.92,0.0,0
STR001,SKU000303,0.0445,0.35,0.7,1.41,0.66,-0.153,1.13,0.0,0
STR001,SKU000304,0.4189,2.84,5.69,11.38,0.95,-0.007,0.97,0.0,0
STR001,SKU000305,0.0594,0.36,0.72,1.45,0.65,-0.164,0.87,0.0,0
STR001,SKU000307,0.1137,0.85,1.7,3.41,0.66,0.139,1.07,0.0,0
STR001,SKU000308,0.0715,0.52,1.04,2.08,0.83,-0.141,1.04,0.0,0
STR001,SKU000309,0.0609,0.41,0.81,1.62,0.73,0.192,0.95,0.0,0
STR001,SKU000311,0.0883,0.56,1.11,2.23,0.71,0.084,0.9,0.0,0
STR001,SKU000312,0.0117,0.09,0.19,0.37,0.93,0.061,1.13,0.0,0
STR001,SKU000314,0.6023,4.76,9.53,19.06,0.87,-0.165,1.13,0.0,0
STR001,SKU000315,0.1732,1.35,2.69,5.38,0.7,0.028,1.11,0.0,0
STR001,SKU000316,0.2019,1.48,2.97,5.94,0.66,-0.047,1.05,0.0,0
STR001,SKU000318,0.458,3.49,6.99,13.98,0.86,0.175,1.09,0.0,0
STR001,SKU000319,0.2225,1.59,3.18,6.35,0.93,0.046,1.02,0.0,0
STR001,SKU000320,0.2796,1.74,3.48,6.97,0.72,0.169,0.89,0.0,0
STR001,SKU000322,0.018,0.13,0.27,0.53,0.89,-0.052,1.05,0.0,0
STR001,SKU000324,0.0263,0.2,0.4,0.8,0.84,-0.036,1.08,0.0,0
STR001,SKU000325,0.2143,1.8,3.6,7.2,0.9,0.111,1.2,0.0,0
STR001,SKU000326,0.9953,7.32,14.63,29.26,0.63,0.124,1.05,0.0,0
STR001,SKU000328,0.3479,2.44,4.87,9.74,0.76,0.06,1.0,0.0,0
STR001,SKU000329,0.0652,0.4,0.79,1.59,0.68,-0.111,0.87,0.0,0
STR001,SKU000330,0.0006,0.0,0.01,0.02,0.68,0.122,1.18,0.0,0
STR001,SKU000331,0.0257,0.16,0.33,0.66,0.71,0.101,0.91,0.0,0
STR001,SKU000333,0.5516,4.25,8.49,16.99,0.88,0.167,1.1,0.0,0
STR001,SKU000334,0.0454,0.38,0.76,1.51,0.78,0.02,1.19,0.0,0
STR001,SKU000335,0.065,0.44,0.87,1.75,0.92,0.029,0.96,0.0,0
STR001,SKU000336,0.0541,0.42,0.83,1.66,0.83,-0.008,1.1,0.0,0
STR001,SKU000337,0.0787,0.53,1.06,2.12,0.63,0.104,0.96,0.0,0
STR001,SKU000338,0.0105,0.08,0.15,0.3,0.8,-0.1,1.02,0.0,0
STR001,SKU000339,0.2435,1.52,3.03,6.07,0.86,0.036,0.89,0.0,0
STR001,SKU000340,0.0808,0.66,1.31,2.62,0.64,-0.15,1.16,0.0,0
STR001,SKU000341,0.0969,0.8,1.6,3.2,0.95,-0.069,1.18,0.0,0
STR001,SKU000343,0.085,0.53,1.06,2.12,0.8,-0.021,0.89,0.0,0
STR001,SKU000344,0.5417,4.06,8.11,16.23,0.66,-0.158,1.07,0.0,0
STR001,SKU000345,0.1149,0.79,1.58,3.15,0.74,0.2,0.98,0.0,0
STR001,SKU000346,0.802,6.46,12.91,25.82,0.67,-0.051,1.15,0.0,0
STR001,SKU000347,0.0107,0.07,0.15,0.3,0.87,0.139,1.0,0.0,0
STR001,SKU000348,0.136,0.88,1.75,3.5,0.62,0.094,0.92,0.0,0
STR001,SKU000351,0.1655,1.65,3.3,6.6,0.68,0.209,0.95,0.5,1
STR001,SKU000352,0.1677,1.2,2.4,4.79,0.74,0.092,1.02,0.0,0
STR001,SKU000353,0.085,0.66,1.32,2.64,0.72,0.14,1.11,0.0,0
STR001,SKU000354,0.0485,0.38,0.76,1.52,0.66,0.139,1.12,0.0,0
STR001,SKU000355,0.0429,0.29,0.58,1.15,0.93,-0.025,0.96,0.0,0
STR001,SKU000356,0.2976,1.92,3.83,7.67,0.67,0.15,0.92,0.0,0
STR001,SKU000357,0.0303,0.22,0.45,0.89,0.73,0.182,1.05,0.0,0
STR001,SKU000359,0.011,0.09,0.19,0.37,0.89,-0.044,1.21,0.0,0
STR001,SKU000360,0.1893,1.14,2.28,4.56,0.71,-0.092,0.86,0.0,0
STR001,SKU000362,0.1675,1.11,2.23,4.46,0.64,0.16,0.95,0.0,0
STR001,SKU000363,0.225,1.48,2.96,5.92,0.94,0.167,0.94,0.0,0
STR001,SKU000364,0.0701,0.79,1.57,3.14,0.83,-0.099,0.89,0.8,1
STR001,SKU000366,0.1775,1.32,2.63,5.27,0.67,0.061,1.06,0.0,0
STR001,SKU000367,0.4014,3.09,6.18,12.36,0.63,0.037,1.1,0.0,0
STR001,SKU000368,0.113,0.96,1.91,3.83,0.69,0.157,1.21,0.0,0
STR001,SKU000370,0.2355,1.52,3.03,6.07,0.93,-0.151,0.92,0.0,0
STR001,SKU000374,0.3698,3.56,7.13,14.26,0.72,-0.16,1.02,0.35,1
STR001,SKU000376,0.4014,2.47,4.95,9.89,0.75,-0.003,0.88,0.0,0
STR001,SKU000377,0.1889,1.56,3.12,6.24,0.72,-0.084,1.18,0.0,0
STR001,SKU000378,0.241,1.69,3.37,6.75,0.92,-0.021,1.0,0.0,0
STR001,SKU000380,0.0678,0.49,0.99,1.97,0.86,0.136,1.04,0.0,0
STR001,SKU000382,0.1145,0.76,1.52,3.04,0.79,-0.147,0.95,0.0,0
STR001,SKU000383,0.1557,1.59,3.19,6.37,0.86,-0.157,1.17,0.25,1
STR001,SKU000386,0.1332,0.95,1.9,3.8,0.88,0.118,1.02,0.0,0
STR001,SKU000387,0.3836,3.06,6.12,12.25,0.72,0.207,1.14,0.0,0
STR001,SKU000388,0.204,1.48,2.97,5.94,0.96,0.054,1.04,0.0,0
STR001,SKU000389,0.0583,0.36,0.73,1.45,0.79,-0.176,0.89,0.0,0
STR001,SKU000390,0.0019,0.01,0.03,0.06,0.9,0.076,1.07,0.0,0
STR001,SKU000391,0.2157,1.65,3.29,6.58,0.77,-0.138,1.09,0.0,0
STR001,SKU000392,0.264,2.11,4.21,8.43,0.83,0.003,1.14,0.0,0
STR001,SKU000393,0.2426,1.66,3.33,6.66,0.67,-0.115,0.98,0.0,0
STR001,SKU000394,0.2135,1.6,3.2,6.4,0.74,0.074,1.07,0.0,0
STR001,SKU000396,0.1059,0.63,1.26,2.52,0.74,0.203,0.85,0.0,0
STR001,SKU000397,0.1368,0.87,1.74,3.49,0.63,0.093,0.91,0.0,0
STR001,SKU000398,0.0513,0.37,0.74,1.48,0.82,-0.057,1.03,0.0,0
STR001,SKU000399,0.5446,3.62,7.24,14.49,0.86,0.078,0.95,0.0,0
