sku_id,source_product_id,source_management_group_id,source_first_category_id,source_second_category_id,source_third_category_id,display_product_name,display_department,display_category,display_subcategory,display_pack_description,display_unit_of_measure,category,subcategory,storage_temperature,shelf_life_days,waste_risk,lifecycle_status,unit_cost,selling_price,gross_margin_pct,pack_multiple,min_presentation_qty,replenishable_flag,display_metadata_origin,commercial_origin,operational_origin
2,2,1,2,20,200,Croissants 400g · 2,Bakery,Bakery,Croissants,400g,gram,Bakery,Croissants,ambient,4,High,Active,2.0,3.0,0.333333,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
20,20,1,2,20,200,Seeded Loaf 400g · 20,Bakery,Bakery,Seeded Loaf,400g,gram,Bakery,Seeded Loaf,ambient,4,High,Active,3.95,5.93,0.333895,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
21,21,1,3,30,300,Vegetable Soup 400g · 21,Chilled and Ready Meals,Chilled and Ready Meals,Vegetable Soup,400g,gram,Chilled and Ready Meals,Vegetable Soup,chilled,7,High,Active,4.62,6.93,0.333333,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
22,22,1,4,40,400,Cottage Cheese 500g · 22,Dairy and Eggs,Dairy and Eggs,Cottage Cheese,500g,gram,Dairy and Eggs,Cottage Cheese,chilled,14,Low,Active,5.77,8.65,0.332948,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
23,23,1,5,50,500,Pork Chops 500g · 23,Meat and Poultry,Meat and Poultry,Pork Chops,500g,gram,Meat and Poultry,Pork Chops,chilled,5,High,Active,1.7,2.55,0.333333,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
24,24,1,6,60,600,Apple Juice 1L · 24,Beverages,Beverages,Apple Juice,1L,litre,Beverages,Apple Juice,ambient,30,Low,Active,4.15,6.23,0.333868,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
25,25,1,7,70,700,Mango Pieces 500g · 25,Frozen Foods,Frozen Foods,Mango Pieces,500g,gram,Frozen Foods,Mango Pieces,frozen,180,Low,Active,0.87,1.3,0.330769,4,0,1,synthetic_grocery_overlay,synthetic,synthetic
26,26,1,8,80,800,Prawns 300g · 26,Seafood,Seafood,Prawns,300g,gram,Seafood,Prawns,chilled,4,High,Active,5.23,7.85,0.333758,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
27,27,1,0,0,0,Greek Yogurt 500g · 27,Dairy and Eggs,Dairy and Eggs,Greek Yogurt,500g,gram,Dairy and Eggs,Greek Yogurt,chilled,14,Low,Active,2.47,3.71,0.334232,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
28,28,1,1,10,100,Bananas 500g · 28,Fresh Produce,Fresh Produce,Bananas,500g,gram,Fresh Produce,Bananas,chilled,7,High,Active,2.28,3.42,0.333333,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
29,29,1,2,20,200,Rye Bread 400g · 29,Bakery,Bakery,Rye Bread,400g,gram,Bakery,Rye Bread,ambient,4,High,Active,5.41,8.12,0.333744,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
3,3,1,3,30,300,Vegetable Curry 400g · 3,Chilled and Ready Meals,Chilled and Ready Meals,Vegetable Curry,400g,gram,Chilled and Ready Meals,Vegetable Curry,chilled,7,High,Active,5.63,8.45,0.333728,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
30,30,1,3,30,300,Pasta Salad 400g · 30,Chilled and Ready Meals,Chilled and Ready Meals,Pasta Salad,400g,gram,Chilled and Ready Meals,Pasta Salad,chilled,7,High,Active,1.99,2.98,0.332215,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
31,31,1,4,40,400,Kefir 500g · 31,Dairy and Eggs,Dairy and Eggs,Kefir,500g,gram,Dairy and Eggs,Kefir,chilled,14,Low,Active,5.1,7.65,0.333333,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
32,32,1,5,50,500,Turkey Breast 500g · 32,Meat and Poultry,Meat and Poultry,Turkey Breast,500g,gram,Meat and Poultry,Turkey Breast,chilled,5,High,Active,6.11,9.17,0.333697,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
33,33,1,6,60,600,Orange Juice 1L · 33,Beverages,Beverages,Orange Juice,1L,litre,Beverages,Orange Juice,ambient,30,Low,Active,3.0,4.5,0.333333,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
34,34,1,7,70,700,Green Beans 500g · 34,Frozen Foods,Frozen Foods,Green Beans,500g,gram,Frozen Foods,Green Beans,frozen,180,Low,Active,3.86,5.79,0.333333,4,0,1,synthetic_grocery_overlay,synthetic,synthetic
35,35,1,8,80,800,Salmon Fillet 300g · 35,Seafood,Seafood,Salmon Fillet,300g,gram,Seafood,Salmon Fillet,chilled,4,High,Active,5.74,8.61,0.333333,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
36,36,1,0,0,0,Cheddar 500g · 36,Dairy and Eggs,Dairy and Eggs,Cheddar,500g,gram,Dairy and Eggs,Cheddar,chilled,14,Low,Active,3.53,5.29,0.332703,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
4,4,1,4,40,400,Butter 500g · 4,Dairy and Eggs,Dairy and Eggs,Butter,500g,gram,Dairy and Eggs,Butter,chilled,14,Low,Active,6.0,9.0,0.333333,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
5,5,1,5,50,500,Turkey Breast 500g · 5,Meat and Poultry,Meat and Poultry,Turkey Breast,500g,gram,Meat and Poultry,Turkey Breast,chilled,5,High,Active,2.61,3.92,0.334184,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
6,6,1,6,60,600,Grape Juice 1L · 6,Beverages,Beverages,Grape Juice,1L,litre,Beverages,Grape Juice,ambient,30,Low,Active,3.36,5.04,0.333333,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
7,7,1,7,70,700,Mixed Berries 500g · 7,Frozen Foods,Frozen Foods,Mixed Berries,500g,gram,Frozen Foods,Mixed Berries,frozen,180,Low,Active,0.8,1.2,0.333333,4,0,1,synthetic_grocery_overlay,synthetic,synthetic
8,8,1,8,80,800,Prawns 300g · 8,Seafood,Seafood,Prawns,300g,gram,Seafood,Prawns,chilled,4,High,Active,1.13,1.69,0.331361,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
9,9,1,0,0,0,Whole Milk 1L · 9,Dairy and Eggs,Dairy and Eggs,Whole Milk,1L,litre,Dairy and Eggs,Whole Milk,chilled,14,Low,Active,2.6,3.9,0.333333,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
